id_bsran_Group	id_bsran	title_bsran	layer_bsran	objtype_bsran	objpixel_bsran	objgeo_bsran	pensymcolor_bsran	pensymsizepixel_bsran	pensymsizemeters_bsran	brushfill_bsran	brushcolor_bsran	alpha_bsran	uri_bsran	labelsize_bsran	labelcolor_bsran	objgeocenter_bsran
-1064471185_126	1064471185126			POINT	421.163107284847 606.63749230451	0.59840277582383 0.136316810719649	-16777216	10	10	10	10					
-1064471185_127	1064471185127			POINT	421.061530830702 617.834257457196	0.598220184445137 0.120310300477088	-16777216	10	10	10	10					
-1064471185_128	1064471185128			POINT	420.959932503608 629.031022280252	0.598037593066446 0.104303790234529	-16777216	10	10	10	10					
-1064471185_129	1064471185129			POINT	420.858312323553 640.22778679127	0.597855001687756 0.0882972799919691	-16777216	10	10	10	10					
-1064471185_130	1064471185130			POINT	420.287336871518 568.872093933346	0.597288700587378 0.19030911433626	-16777216	10	10	10	10					
-1064471185_131	1064471185131			POINT	420.205697068782 558.678423514922	0.597207800430183 0.204882233528302	-16777216	10	10	10	10					
-1064471185_132	1064471185132			POINT	420.124039317626 548.484753054171	0.597126900272987 0.219455352720345	-16777216	10	10	10	10					
-1064471185_133	1064471185133			POINT	420.042363625326 538.291082537832	0.597046000115792 0.234028471912387	-16777216	10	10	10	10					
-1064471185_134	1064471185134			POINT	419.960669999158 528.09741195264	0.596965099958597 0.24860159110443	-16777216	10	10	10	10					
-1064471185_135	1064471185135			POINT	419.878958446393 517.903741285333	0.5968841998014 0.263174710296474	-16777216	10	10	10	10					
-1064471185_136	1064471185136			POINT	419.797228974307 507.710070522648	0.596803299644205 0.277747829488518	-16777216	10	10	10	10					
-1064471185_137	1064471185137			POINT	419.71548159017 497.516399651324	0.59672239948701 0.29232094868056	-16777216	10	10	10	10					
-1064471185_138	1064471185138			POINT	419.633716301254 487.322728658095	0.596641499329815 0.306894067872605	-16777216	10	10	10	10					
-1064471185_139	1064471185139			POINT	419.551933114828 477.129057529701	0.596560599172621 0.321467187064649	-16777216	10	10	10	10					
-1064471185_140	1064471185140			POINT	419.470132038159 466.935386252879	0.596479699015424 0.336040306256692	-16777216	10	10	10	10					
-1064471185_141	1064471185141			POINT	434.113788259274 466.720350852335	0.617275440266952 0.336297123340936	-16777216	10	10	10	10					
-1064471185_142	1064471185142			POINT	448.757443937743 466.505304581563	0.638071181518479 0.336553940425179	-16777216	10	10	10	10					
-1064471185_143	1064471185143			POINT	463.401099072904 466.29024741668	0.658866922770005 0.336810757509424	-16777216	10	10	10	10					
-1064471185_144	1064471185144			POINT	470.775373734447 474.896080955059	0.669309066608318 0.324482445746126	-16777216	10	10	10	10					
-1064471185_145	1064471185145			POINT	470.880224219002 492.322813009195	0.669397613033415 0.29956900513529	-16777216	10	10	10	10					
-1064471185_146	1064471185146			POINT	470.985015869254 509.749544621104	0.669486159458513 0.274655564524453	-16777216	10	10	10	10					
-1064471185_147	1064471185147			POINT	471.089748662048 527.17627585693	0.66957470588361 0.249742123913619	-16777216	10	10	10	10					
-1064471185_148	1064471185148			POINT	471.194422574223 544.603006782823	0.669663252308709 0.224828683302784	-16777216	10	10	10	10					
-1064471185_149	1064471185149			POINT	471.299037582605 562.029737464929	0.669751798733808 0.19991524269195	-16777216	10	10	10	10					
-1064471185_150	1064471185150			POINT	471.403593664014 579.456467969398	0.669840345158907 0.175001802081115	-16777216	10	10	10	10					
-1064471185_151	1064471185151			POINT	471.508090795256 596.883198362376	0.669928891584006 0.150088361470283	-16777216	10	10	10	10					
-1064471185_152	1064471185152			POINT	471.612528953133 614.309928710013	0.670017438009107 0.12517492085945	-16777216	10	10	10	10					
-1064471185_153	1064471185153			POINT	471.716908114432 631.736659078458	0.670105984434207 0.100261480248618	-16777216	10	10	10	10					
-1064471185_154	1064471185154			POINT	481.215503974372 589.907372430837	0.68373790942105 0.160027527169163	-16777216	10	10	10	10					
-1064471185_155	1064471185155			POINT	494.423099387233 588.691279947209	0.702497614547327 0.161720581010294	-16777216	10	10	10	10					
-1064471185_156	1064471185156			POINT	507.630693037187 587.475180204953	0.721257319673605 0.163413634851424	-16777216	10	10	10	10					
-1064471185_157	1064471185157			POINT	520.838284900998 586.259073076254	0.740017024799881 0.165106688692556	-16777216	10	10	10	10					
-1064471185_158	1064471185158			POINT	523.596672782898 568.427525009485	0.743995447243666 0.190588857982478	-16777216	10	10	10	10					
-1064471185_159	1064471185159			POINT	523.053097583393 550.900006429873	0.743283943405882 0.215647763812119	-16777216	10	10	10	10					
-1064471185_160	1064471185160			POINT	522.509457176784 533.372489315763	0.742572439568098 0.24070666964176	-16777216	10	10	10	10					
-1064471185_161	1064471185161			POINT	521.965751753217 515.844973596786	0.741860935730315 0.265765575471402	-16777216	10	10	10	10					
-1064471185_162	1064471185162			POINT	521.421981502825 498.317459202571	0.74114943189253 0.290824481301043	-16777216	10	10	10	10					
-1064471185_163	1064471185163			POINT	520.878146615734 480.789946062745	0.740437928054748 0.315883387130686	-16777216	10	10	10	10					
-1064471185_164	1064471185164			POINT	520.334247282056 463.262434106938	0.739726424216964 0.340942292960329	-16777216	10	10	10	10					
-1064471185_165	1064471185165			POINT	532.476213278825 463.845935629513	0.756966825574368 0.340066088078855	-16777216	10	10	10	10					
